env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,num_workers_req,batch_size,run1,run2,run3,load_time_median,workers_x_cpu,batch_x_ram,cpu_per_worker,workers_x_gpu,batch_x_gpu
gpu_02,2,1,12.67,1,14.56,4,,32,0.2845,0.1713,0.1777,0.1777,8,2.525651144435675,0.4,4,32
gpu_02,2,1,12.67,1,14.56,4,,64,0.3298,0.2958,0.3388,0.3298,8,5.05130228887135,0.4,4,64
gpu_02,2,1,12.67,1,14.56,4,,128,0.586,0.54,0.5666,0.5666,8,10.1026045777427,0.4,4,128
gpu_02,2,1,12.67,1,14.56,4,,256,1.0122,1.0139,1.0923,1.0139,8,20.2052091554854,0.4,4,256
gpu_03,24,24,15.36,1,7.96,0,0.0,32,0.0729,0.0813,0.0797,0.0797,0,2.0833333333333335,24.0,0,32
gpu_03,24,24,15.36,1,7.96,0,0.0,64,0.1498,0.1539,0.1261,0.1498,0,4.166666666666667,24.0,0,64
gpu_03,24,24,15.36,1,7.96,0,0.0,128,0.2248,0.2498,0.2431,0.2431,0,8.333333333333334,24.0,0,128
gpu_03,24,24,15.36,1,7.96,0,0.0,256,0.4136,0.4143,0.4228,0.4143,0,16.666666666666668,24.0,0,256
gpu_03,24,24,15.36,1,7.96,1,1.0,32,0.0778,0.064,0.077,0.077,24,2.0833333333333335,12.0,1,32
gpu_03,24,24,15.36,1,7.96,1,1.0,64,0.1089,0.1249,0.1327,0.1249,24,4.166666666666667,12.0,1,64
gpu_03,24,24,15.36,1,7.96,1,1.0,128,0.2142,0.244,0.2682,0.244,24,8.333333333333334,12.0,1,128
gpu_03,24,24,15.36,1,7.96,1,1.0,256,0.4087,0.4022,0.4433,0.4087,24,16.666666666666668,12.0,1,256
gpu_03,24,24,15.36,1,7.96,2,2.0,32,0.047,0.0433,0.0408,0.0433,48,2.0833333333333335,8.0,2,32
gpu_03,24,24,15.36,1,7.96,2,2.0,64,0.064,0.0619,0.0743,0.064,48,4.166666666666667,8.0,2,64
gpu_03,24,24,15.36,1,7.96,2,2.0,128,0.1194,0.1142,0.1137,0.1142,48,8.333333333333334,8.0,2,128
gpu_03,24,24,15.36,1,7.96,2,2.0,256,0.2336,0.2282,0.2793,0.2336,48,16.666666666666668,8.0,2,256
gpu_03,24,24,15.36,1,7.96,4,4.0,32,0.0222,0.0236,0.0408,0.0236,96,2.0833333333333335,4.8,4,32
gpu_03,24,24,15.36,1,7.96,4,4.0,64,0.0469,0.0439,0.0401,0.0439,96,4.166666666666667,4.8,4,64
gpu_03,24,24,15.36,1,7.96,4,4.0,128,0.0707,0.0771,0.0742,0.0742,96,8.333333333333334,4.8,4,128
gpu_03,24,24,15.36,1,7.96,4,4.0,256,0.1355,0.156,0.1741,0.156,96,16.666666666666668,4.8,4,256
gpu_04,12,6,14.96,1,3.63,0,0.0,32,0.0896,0.0894,0.0892,0.0894,0,2.13903743315508,12.0,0,32
gpu_04,12,6,14.96,1,3.63,0,0.0,64,0.1737,0.1741,0.1737,0.1737,0,4.27807486631016,12.0,0,64
gpu_04,12,6,14.96,1,3.63,0,0.0,128,0.349,0.3496,0.3506,0.3496,0,8.55614973262032,12.0,0,128
gpu_04,12,6,14.96,1,3.63,0,0.0,256,0.6857,0.6869,0.6866,0.6866,0,17.11229946524064,12.0,0,256
gpu_04,12,6,14.96,1,3.63,1,1.0,32,0.147,0.1396,0.1594,0.147,12,2.13903743315508,6.0,1,32
gpu_04,12,6,14.96,1,3.63,1,1.0,64,0.2513,0.25,0.245,0.25,12,4.27807486631016,6.0,1,64
gpu_04,12,6,14.96,1,3.63,1,1.0,128,0.4455,0.463,0.4641,0.463,12,8.55614973262032,6.0,1,128
